DATE      , MaxT, MinT, MxRH, MnRH, RnDr,
01/01/2015,   10 ,   -4 ,   79 ,   51 ,    0 ,
01/02/2015,   15 ,    1 ,   81 ,   57 ,    0 ,
01/03/2015,   29 ,   14 ,   91 ,   72 ,    2 ,
01/04/2015,   30 ,   20 ,   91 ,   67 ,    3 ,
01/05/2015,   35 ,   21 ,   95 ,   83 ,    2 ,
01/06/2015,   39 ,   33 ,   98 ,   91 ,   23 ,
01/07/2015,   40 ,   28 ,   97 ,   69 ,    4 ,
01/08/2015,   32 ,   16 ,   94 ,   71 ,    0 ,
01/09/2015,   32 ,   17 ,   72 ,   55 ,    0 ,
01/10/2015,   28 ,   16 ,   86 ,   63 ,    0 ,
01/11/2015,   33 ,   25 ,   94 ,   62 ,    2 ,
01/12/2015,   35 ,   28 ,   94 ,   77 ,    2 ,
01/13/2015,   37 ,   28 ,   94 ,   72 ,    0 ,
01/14/2015,   37 ,   20 ,   91 ,   64 ,    0 ,
01/15/2015,   32 ,   11 ,   92 ,   70 ,    0 ,
01/16/2015,   30 ,   18 ,   92 ,   77 ,    0 ,
01/17/2015,   41 ,   23 ,   89 ,   51 ,    0 ,
01/18/2015,   49 ,   29 ,   97 ,   46 ,    6 ,
01/19/2015,   46 ,   32 ,   91 ,   48 ,    1 ,
01/20/2015,   42 ,   27 ,   96 ,   68 ,    4 ,
01/21/2015,   37 ,   16 ,   92 ,   59 ,    0 ,
01/22/2015,   31 ,   16 ,   90 ,   63 ,    0 ,
01/23/2015,   39 ,   28 ,   90 ,   66 ,    0 ,
01/24/2015,   45 ,   32 ,   94 ,   63 ,    1 ,
01/25/2015,   47 ,   33 ,   98 ,   75 ,    1 ,
01/26/2015,   49 ,   29 ,   94 ,   57 ,    0 ,
01/27/2015,   47 ,   27 ,   96 ,   55 ,    0 ,
01/28/2015,   45 ,   30 ,   94 ,   60 ,    0 ,
01/29/2015,   50 ,   22 ,   95 ,   53 ,    0 ,
01/30/2015,   37 ,   19 ,   94 ,   66 ,    0 ,
01/31/2015,   38 ,   23 ,   93 ,   61 ,    1 ,
02/01/2015,   38 ,   21 ,   93 ,   59 ,    0 ,
02/02/2015,   38 ,   23 ,   95 ,   83 ,    4 ,
02/03/2015,   44 ,   34 ,   95 ,   61 ,    0 ,
02/04/2015,   43 ,   28 ,   97 ,   63 ,    2 ,
02/05/2015,   37 ,   31 ,   97 ,   82 ,    1 ,
02/06/2015,   56 ,   35 ,   89 ,   46 ,    1 ,
02/07/2015,   56 ,   41 ,   96 ,   36 ,    4 ,
02/08/2015,   55 ,   35 ,   98 ,   64 ,   12 ,
02/09/2015,   54 ,   35 ,   97 ,   58 ,    3 ,
02/10/2015,   45 ,   37 ,   98 ,   88 ,    7 ,
02/11/2015,   47 ,   30 ,   97 ,   72 ,    1 ,
02/12/2015,   47 ,   32 ,   97 ,   73 ,    0 ,
02/13/2015,   53 ,   32 ,   92 ,   49 ,    0 ,
02/14/2015,   55 ,   31 ,   94 ,   46 ,    0 ,
02/15/2015,   55 ,   30 ,   91 ,   44 ,    0 ,
02/16/2015,   51 ,   27 ,   94 ,   31 ,    1 ,
02/17/2015,   45 ,   18 ,   89 ,   30 ,    0 ,
02/18/2015,   46 ,   21 ,   86 ,   31 ,    0 ,
02/19/2015,   49 ,   30 ,   80 ,   36 ,    0 ,
02/20/2015,   50 ,   31 ,   96 ,   40 ,    0 ,
02/21/2015,   42 ,   28 ,   97 ,   46 ,    4 ,
02/22/2015,   33 ,    6 ,   82 ,   46 ,    1 ,
02/23/2015,   28 ,    5 ,   83 ,   40 ,    0 ,
02/24/2015,   34 ,   15 ,   87 ,   44 ,    0 ,
02/25/2015,   45 ,   30 ,   72 ,   38 ,    0 ,
02/26/2015,   47 ,   24 ,   75 ,   39 ,    0 ,
02/27/2015,   40 ,   23 ,   69 ,   37 ,    0 ,
02/28/2015,   40 ,   19 ,   51 ,   32 ,    0 ,
03/01/2015,   35 ,   11 ,   80 ,   28 ,    0 ,
03/02/2015,   39 ,   17 ,   79 ,   26 ,    0 ,
03/03/2015,   36 ,   11 ,   86 ,   33 ,    0 ,
03/04/2015,   36 ,    9 ,   85 ,   34 ,    0 ,
03/05/2015,   45 ,   18 ,   78 ,   33 ,    0 ,
03/06/2015,   54 ,   26 ,   71 ,   20 ,    0 ,
03/07/2015,   60 ,   28 ,   76 ,   21 ,    0 ,
03/08/2015,   58 ,   27 ,   84 ,   25 ,    0 ,
03/09/2015,   59 ,   27 ,   86 ,   24 ,    0 ,
03/10/2015,   62 ,   27 ,   79 ,   21 ,    0 ,
03/11/2015,   66 ,   35 ,   72 ,   14 ,    0 ,
03/12/2015,   61 ,   40 ,   88 ,   40 ,    0 ,
03/13/2015,   61 ,   27 ,   95 ,   35 ,    0 ,
03/14/2015,   64 ,   36 ,   71 ,   28 ,    0 ,
03/15/2015,   61 ,   45 ,   98 ,   44 ,    9 ,
03/16/2015,   60 ,   39 ,   97 ,   42 ,    4 ,
03/17/2015,   56 ,   37 ,   94 ,   42 ,    2 ,
03/18/2015,   50 ,   38 ,   96 ,   51 ,    1 ,
03/19/2015,   57 ,   28 ,   94 ,   37 ,    0 ,
03/20/2015,   65 ,   30 ,   87 ,   25 ,    0 ,
03/21/2015,   68 ,   38 ,   76 ,   22 ,    0 ,
03/22/2015,   60 ,   28 ,   90 ,   37 ,    0 ,
03/23/2015,   62 ,   37 ,   93 ,   22 ,    3 ,
03/24/2015,   52 ,   29 ,   93 ,   40 ,    4 ,
03/25/2015,   49 ,   32 ,   96 ,   46 ,    3 ,
03/26/2015,   53 ,   39 ,   88 ,   38 ,    0 ,
03/27/2015,   65 ,   33 ,   97 ,   45 ,    0 ,
03/28/2015,   71 ,   40 ,   86 ,   31 ,    4 ,
03/29/2015,   53 ,   29 ,   92 ,   44 ,    0 ,
03/30/2015,   67 ,   34 ,   91 ,   32 ,    0 ,
03/31/2015,   72 ,   36 ,   85 ,   15 ,    0 ,
04/01/2015,   57 ,   34 ,   77 ,   41 ,    0 ,
04/02/2015,   43 ,   28 ,   86 ,   42 ,    2 ,
04/03/2015,   49 ,   24 ,   93 ,   32 ,    3 ,
04/04/2015,   53 ,   29 ,   76 ,   24 ,    0 ,
04/05/2015,   48 ,   26 ,   91 ,   39 ,    0 ,
04/06/2015,   51 ,   31 ,   95 ,   38 ,    5 ,
04/07/2015,   52 ,   23 ,   93 ,   32 ,    0 ,
04/08/2015,   60 ,   29 ,   78 ,   20 ,    0 ,
04/09/2015,   60 ,   29 ,   88 ,   25 ,    0 ,
04/10/2015,   62 ,   29 ,   96 ,   27 ,    2 ,
04/11/2015,   62 ,   39 ,   89 ,   24 ,    2 ,
